
gene,0.0,9.5,11.5,13.5,15.5,18.5,20.5
YAL012W,0.157,0.175,0.467,-0.379,-0.52,-1.279,-2.125
YAL034C,-0.235,0.487,-0.184,-0.669,-1.006,2.369,2.611
YAL061W,-0.532,0.028,-0.333,-0.102,1.172,2.087,0.992
YBR048W,0.224,0.274,-0.002,-0.211,-0.76,-1.524,-2.145
YBR052C,0.049,0.105,0.65,1.31,0.917,2.401,1.715
YBR072W,0.044,0.624,0.305,1.246,1.911,3.802,3.313
YBR169C,0.066,-0.071,-0.018,0.866,1.106,2.585,2.411
YBR183W,-0.356,-0.409,0.395,1.289,1.259,3.01,1.914
YBR241C,-0.738,-0.18,0.387,0.371,0.181,3.148,1.985
YBR287W,-0.358,0.138,1.14,0.813,0.121,2.018,1.495
YCL060C,-1.019,-2.438,-0.128,-0.19,-0.565,0.569,-0.096
YCR019W,-0.818,-2.561,0.264,-0.196,-1.032,0.744,0.453
YDL124W,0.029,-0.203,-0.16,0.719,0.852,2.062,1.082
YDL148C,0.109,0.042,0.243,-0.617,-0.779,-1.367,-2.05
YDL204W,-0.328,1.063,-0.62,0.551,0.68,4.234,3.477
YDR074W,0.243,0.214,0.159,1.255,1.253,2.187,1.594
YDR096W,-0.283,-0.373,-0.126,0.329,0.106,1.318,2.056
YDR144C,0.193,0.147,-0.423,-0.672,-0.978,-2.502,-2.322
YDR148C,-0.569,-0.034,0.301,-0.049,0.153,2.154,1.878
YDR258C,-0.144,0.37,-0.304,1.111,0.934,2.736,2.879
YDR272W,0.016,0.132,0.301,0.64,0.73,2.783,1.722
YDR316W,-0.493,-0.463,0.501,0.065,-0.672,2.283,0.672
YEL011W,-0.254,-0.003,0.476,1.106,1.058,2.87,3.311
YEL024W,0.175,0.37,0.49,1.098,1.313,2.142,2.753
YFL014W,-0.078,0.5,0.561,1.766,2.508,3.716,3.849
YFR018C,-1.057,-2.446,0.168,-1.16,-0.38,0.843,0.474
YGL062W,0.1,0.313,-1.161,-0.65,-0.594,-0.693,2.224
YGL138C,-1.674,-2.258,-0.627,-0.563,-3.66,1.05,0.446
YGL158W,-0.712,-2.446,0.307,0.069,-0.72,1.46,1.578
YGL184C,-1.322,-3.467,-0.051,-0.588,-4.222,1.594,1.012
YGR043C,-0.4,-1.345,-0.282,-0.071,0.379,3.962,3.122
YGR201C,-0.069,-0.43,0.745,0.41,0.348,2.296,2.061
YGR225W,-1.061,-4.479,0.735,0.22,-0.285,2.12,0.627
YHL033C,0.414,0.315,0.086,0.032,-0.265,-1.544,-2.128
YIL098C,-0.289,-0.459,0.01,0.366,0.175,2.083,0.598
YIL166C,-0.882,-1.032,0.763,-0.066,-2.079,1.544,1.091
YIR039C,-0.27,-1.566,0.916,1.33,1.162,2.328,2.498
YJL144W,-0.352,-0.379,0.239,0.417,0.161,2.422,1.574
YKL035W,0.314,0.595,0.763,1.349,1.12,2.225,1.43
YKL067W,-0.01,-0.057,-0.137,0.584,0.841,2.196,1.344
YKL085W,0.102,0.168,0.251,1.153,1.743,3.036,3.032
YKL091C,-0.269,-0.676,0.034,0.9,0.568,2.02,1.42
YLR164W,-0.299,0.643,-0.377,0.225,0.102,2.262,2.066
YLR168C,-0.007,-0.418,0.255,0.348,0.447,1.795,2.09
YLR174W,-0.092,-0.386,-1.758,0.347,0.328,1.654,3.768
YLR196W,0.333,0.252,0.21,-0.699,-0.881,-1.575,-2.767
YLL041C,0.014,0.124,0.45,1.303,1.726,2.67,2.991
YLL023C,0.16,0.09,0.484,0.74,0.921,2.386,1.738
YLR270W,0.157,0.05,0.134,0.944,1.194,3.312,1.948
YLR312C,-0.784,-1.757,0.187,0.681,0.509,1.69,2.783
YLR356W,-0.069,0.566,0.548,1.078,1.289,3.088,2.27
YML042W,-0.592,-0.37,0.311,-0.084,-0.445,1.772,2.581
YML100W,0.366,0.295,-0.021,1.279,1.443,1.761,2.341
YML120C,-0.136,-0.324,-0.319,0.369,0.932,1.875,2.406
YML131W,-0.16,-0.448,0.384,0.187,0.119,2.112,1.423
YMR131C,0.297,0.176,0.244,-0.218,-0.604,-1.268,-2.274
YMR181C,0.031,0.027,0.597,0.792,0.648,1.799,2.042
YNL015W,-0.012,-0.189,0.471,1.058,1.438,3.546,2.68
YNL037C,0.027,0.318,-0.03,0.488,0.511,1.741,2.127
YNL061W,0.053,-0.35,-0.5,-1.082,-1.185,-2.196,0.404
YNL173C,-0.008,-0.069,0.014,1.101,1.159,2.913,2.154
YNL175C,0.262,-0.05,0.064,-0.46,-0.738,-1.804,-2.292
YNL301C,0.276,-0.054,0.161,-0.09,-0.32,-1.872,-2.08
YNL303W,-0.333,-0.684,-0.434,-0.398,-0.911,-2.527,-2.081
YOL120C,0.328,-0.006,0.343,0.066,-0.363,-1.823,-2.039
YOR032C,-0.817,-2.225,0.727,0.083,-0.031,1.974,1.357
YOL053C,-0.056,-0.079,0.008,1.122,1.217,2.615,2.206
YOR100C,-0.878,-1.168,0.032,0.103,0.271,1.93,2.625
YOR220W,0.104,0.104,0.512,0.693,0.772,2.358,2.028
YPL012W,0.146,-0.111,-0.235,-1.014,-1.405,-3.278,-2.823
YPL060W,-0.831,-2.645,0.402,0.241,-0.354,1.027,1.224
YPL186C,-0.002,-0.203,0.267,0.295,0.497,1.967,2.117
YPR137W,0.147,-0.194,-0.303,-0.704,-0.748,-1.733,-3.071
YAL060W,0.148,0.408,0.116,0.727,0.717,2.063,1.822
YBL064C,0.413,0.229,0.651,1.127,1.146,3.796,3.437
YBR001C,0.129,-0.02,0.426,0.88,-0.402,1.31,2.034
YBR051W,-0.123,0.333,-0.179,-0.188,-1.256,0.521,3.072
YBR117C,0.453,0.657,0.649,0.245,-0.112,1.756,2.893
YBR139W,0.172,0.645,0.363,1.319,1.195,2.172,2.677
YBR147W,-0.125,0.404,-0.175,0.217,0.701,3.082,2.89
YBR214W,-0.034,0.231,0.409,0.709,0.484,2.219,1.877
YBR238C,0.219,1.08,0.3,-0.62,-0.856,-1.637,-2.099
YCL035C,0.1,0.401,0.473,0.92,0.723,2.719,1.938
YCR021C,-0.749,-0.037,1.889,1.698,1.417,3.906,3.685
YDL083C,0.15,-0.1,-0.291,-0.463,-0.587,-1.11,-2.004
YDL085W,-0.071,1.323,-0.032,0.096,0.065,2.197,3.261
YDL181W,-0.153,0.353,0.379,0.842,0.509,1.737,2.231
YDL223C,-0.011,0.72,0.062,-0.053,-0.574,1.541,2.6
YDR001C,0.233,0.119,0.366,1.106,1.033,2.2,2.256
YDR019C,0.04,0.656,0.852,1.55,2.345,0.66,0.63
YDR077W,0.346,0.715,0.433,1.239,1.738,2.377,2.043
YDR165W,0.386,0.356,0.335,-0.511,-0.743,-2.01,-1.231
YDR171W,0.178,0.277,0.333,1.174,1.295,3.789,3.677
